DMU,Efficiency,Efficient,Slack_1,Slack_2,Slack_3,Slack_4,Slack_5,Slack_6,Slack_7,Slack_8,Slack_9,Slack_10,Slack_11,Slack_12,DMU,Lambda_1,Lambda_2,Lambda_3,Lambda_4,Lambda_5,Lambda_6,Lambda_7,Lambda_8,Lambda_9,Lambda_10,Lambda_11,Lambda_12,Lambda_13,Lambda_14,Lambda_15,Lambda_16,Lambda_17,Lambda_18,Lambda_19,Lambda_20,Lambda_21,Lambda_22,Lambda_23,Lambda_24,Lambda_25,Lambda_26,Lambda_27,Lambda_28,Lambda_29,Lambda_30,Lambda_31,Lambda_32,Lambda_33,Lambda_34,Lambda_35,Lambda_36,Lambda_37,Lambda_38,Lambda_39,Lambda_40,Lambda_41,Lambda_42,Lambda_43,Lambda_44,Lambda_45,Lambda_46,Lambda_47,Lambda_48,Lambda_49,Lambda_50,Lambda_51,Lambda_52,Lambda_53,Lambda_54,Lambda_55,Lambda_56,Lambda_57,Lambda_58,Lambda_59,Lambda_60,Lambda_61,Lambda_62,Lambda_63,Lambda_64,Lambda_65,Lambda_66,Lambda_67,Lambda_68,Lambda_69,Lambda_70,Lambda_71,Lambda_72
BD20 algae,0.54817847,False,0.39653862,0.055703597,0.0,0.0,0.0,0.0,0.077728803,0.12307063,0.09132356,0.20888234,0.0,0.073012666,BD20 algae,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14734301,0.0,0.0,0.0,0.32201843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004804559,0.0,0.0,0.0,0.0,0.52805194,0.0,0.0021061749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD20 Camelina,0.77505589,False,0.49593727,0.017996118,0.0,0.04615543,0.0,0.0,0.0,0.0,0.014288754,0.047435068,0.0080023074,0.0074668297,BD20 Camelina,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78794396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0057418573,0.0,0.0,0.0,0.0,0.17971606,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022148251,0.0,0.0,0.0,0.0,0.0,0.0044498709,0.0
BD20 canola,0.75040615,False,0.4537953,0.030184055,0.0,0.0,0.0,0.0,0.0,0.024060274,0.036344132,0.092849096,0.028357661,0.0078886451,BD20 canola,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75571087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10274334,0.0,0.0,0.0,0.0,0.015228614,0.0,0.0,0.0,0.069487559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.056829614,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD20 corn,0.69121749,False,0.47149544,0.0,0.077257211,0.033523038,0.015032196,0.0,0.0,0.0,0.039484957,0.09897646,0.0084896494,0.0,BD20 corn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6697915,0.0,0.0,0.0,0.0,0.010300563,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16004171,0.0,0.0,0.0,0.0077341877,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15213204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD20 Jatropha,0.74714381,False,0.50599365,0.0,0.0,0.0094266885,0.0057431871,0.0,0.0,0.020837909,0.040199697,0.11543114,0.019292163,0.0,BD20 Jatropha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69906604,0.0,0.0,0.0,0.0,0.047351131,0.0,0.0,0.0,0.0,0.0,0.0,0.076184099,0.0,0.0,0.0,0.0,0.076006642,0.0,0.0,0.0,0.10139209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD20 palm,0.80571575,False,0.51486957,0.019672162,0.0,0.10797073,0.0,0.0,0.0,0.024746044,0.04326209,0.10090514,0.039977543,0.0,BD20 palm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.78807052,0.0,0.0,0.0,0.0,0.035352797,0.0,0.0,0.0,0.0,0.0,0.0,0.14151472,0.0,0.0,0.0,0.0,0.0081767622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026885208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD20 tallow,1.0,True,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,BD20 tallow,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BD20 soy,0.97135494,False,0.49157474,0.033613278,0.15736362,0.0,0.068643423,0.0,0.0,0.021348522,0.015009337,0.064119509,0.0,0.0025974129,BD20 soy,0.0,0.0,0.0,0.0,0.0,0.0,0.28462294,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29998123,0.0,0.0,0.0,0.30407694,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11131888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E10 corn A,0.9397803,False,0.045271431,0.034524102,0.0083718151,0.0,0.12964585,0.0,0.011728772,0.035376067,0.02280881,0.062756268,0.0,0.037848446,E10 corn A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56372081,0.0,0.0,0.0,0.23593363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.20034556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E10 corn B,0.94848838,False,0.045313606,0.035687057,0.008447622,0.0,0.12831399,0.0,0.011258359,0.023950824,0.01939068,0.060207582,0.0,0.038746659,E10 corn B,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.56981406,0.0,0.0,0.0,0.23841793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19176801,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
